"no.","name","census 2001","census 2006","calculation 2010","annualgrowth","latitude","longitude","parent division","name variants","metropolitan area"
630,"Rosetown","2 471","2 277","2 128",-1.68,"51.55°N","107.98°W","Saskatchewan"," "," "
631,"Rossland","3 603","3 207","2 985",-1.78,"49.08°N","117.82°W","British Columbia"," "," "
632,"Rosthern","1 504","1 382","1 289",-1.73,"","","Saskatchewan"," "," "
633,"Rougemont","1 164","1 213","1 249",0.73,"45.43°N","73.05°W","Quebec"," "," "
634,"Rouyn-Noranda","23 658","23 792","23 827",0.04,"48.24°N","79.03°W","Quebec"," "," "
635,"Roxton Falls","1 354","1 377","1 391",0.25,"","","Quebec"," "," "
636,"Roxton Pond","1 886","1 983","2 056",0.91,"","","Quebec"," "," "
637,"Russell","3 507","3 530","3 539",0.06,"","","Ontario"," "," "
638,"Russell","1 587","1 428","1 311",-2.11,"","","Manitoba"," "," "
639,"Sackville","2 987","2 935","2 885",-0.43,"45.88°N","64.35°W","New Brunswick"," "," "
640,"Saint Adolphe","1 140","1 048",978,-1.71,"49.69°N","97.12°W","Manitoba"," ","Winnipeg"
641,"Saint-Agapit","2 005","1 981","1 957",-0.3,"46.57°N","71.43°W","Quebec"," "," "
642,"Saint-Alexandre","1 121","1 085","1 055",-0.7,"47.68°N","69.63°W","Quebec"," "," "
643,"Saint-Alexis-des-Monts","1 982","1 969","1 953",-0.2,"46.46°N","73.16°W","Quebec"," "," "
644,"Saint-Ambroise","2 174","2 131","2 092",-0.46,"48.55°N","71.32°W","Quebec"," "," "
645,"Saint-André-Avellin","1 838","1 865","1 881",0.21,"45.72°N","75.05°W","Quebec"," "," "
646,"Saint Andrews","1 869","1 798","1 738",-0.84,"45.07°N","67.03°W","New Brunswick"," "," "
647,"Saint-Anselme","1 831","1 866","1 888",0.29,"46.62°N","70.97°W","Quebec"," "," "
648,"Saint Anthony","2 730","2 442","2 230",-2.24,"51.38°N","55.60°W","Newfoundland and Labrador"," "," "
649,"Saint-Apollinaire","1 531","1 539","1 541",0.03,"46.62°N","71.50°W","Quebec"," "," "
650,"Saint-Augustin","4 268","5 355","6 373",4.45,"51.23°N","58.65°W","Quebec"," "," "
651,"Saint-Basile-Sud","1 255","1 259","1 258",-0.02,"46.75°N","71.82°W","Quebec"," "," "
652,"Saint-Bruno","2 876","2 696","2 556",-1.32,"47.47°N","79.43°W","Quebec","Saint-Bruno-de-Guigues"," "
653,"Saint-Canut","3 430","4 368","5 259",4.75,"45.72°N","74.07°W","Quebec"," ","Montréal"
654,"Saint Catharines-Niagara","299 950","308 596","314 644",0.49,"43.18°N","79.24°W","Ontario","Saint Catherines, Niagara, Saint Catharines - Niagara","Buffalo-Saint Catharines"
655,"Saint-Césaire","3 119","3 346","3 524",1.3,"45.40°N","73.00°W","Quebec"," "," "
656,"Saint-Cyrill-de-Wendover","1 258","1 242","1 226",-0.32,"45.93°N","72.43°W","Quebec","Saint-Cyrille-de-Wendover","Drummondville"
657,"Saint-Damase","1 327","1 329","1 327",-0.04,"45.53°N","73.01°W","Quebec"," "," "
658,"Saint-Damien-de-Buckland","1 880","1 493","1 329",-2.87,"46.64°N","70.67°W","Quebec"," "," "
659,"Saint-Denis","1 402","1 453","1 490",0.63,"45.78°N","73.15°W","Quebec"," ","Montréal"
660,"Saint-Donat-de-Montcalm","1 468","1 622","1 748",1.89,"46.32°N","74.22°W","Quebec"," "," "
661,"Sainte-Adèle","5 244","5 022","4 841",-0.91,"45.95°N","74.15°W","Quebec"," "," "
662,"Sainte-Agathe-des-Monts","5 614","6 207","6 693",1.9,"46.03°N","74.28°W","Quebec"," "," "
663,"Sainte Anne","1 513","1 534","1 546",0.19,"49.67°N","96.67°W","Manitoba"," "," "
